title,description,organization,category,prerequisites,url,platform,format,project,difficulty,duration
Relational Databases & API REST Development,Database design and REST API development covering SQL database administration RESTful architecture and building data-driven backend services,App Academy Open,"sql,api",sql,https://www.appacademy.io/course/app-academy-open/,appacademy,course,1,2,60
Introduction to Backend Specialization,Backend development fundamentals covering server architecture databases APIs authentication and building scalable backend systems,App Academy Open,"computer,api",,https://www.appacademy.io/course/app-academy-open/,appacademy,course,0,2,40
Project Planning and Database Design,Software project planning and database architecture covering requirements analysis system design database modeling and project management methodologies,App Academy Open,database,,https://www.appacademy.io/course/app-academy-open/,appacademy,course,1,2,30
Preparing and Publishing APIs,API development and deployment covering API design documentation testing deployment strategies and maintaining production API services,App Academy Open,api,computer,https://www.appacademy.io/course/app-academy-open/,appacademy,course,1,3,40
Introduction to Frontend Specialization,Frontend development specialization covering advanced UI/UX modern frameworks responsive design and building professional frontend applications,App Academy Open,ui_ux,html,https://www.appacademy.io/course/app-academy-open/,appacademy,course,1,2,35
"React with TypeScript, Redux and Auth0",Advanced React development with TypeScript Redux state management Auth0 authentication and building type-safe scalable frontend applications,App Academy Open,"react,redux,auth",react,https://www.appacademy.io/course/app-academy-open/,appacademy,course,1,4,50
"Firebase, React Testing and CI/CD",Firebase integration React testing strategies and CI/CD implementation covering cloud services automated testing and deployment automation,App Academy Open,"react,testing,ci_cd",react,https://www.appacademy.io/course/app-academy-open/,appacademy,course,1,3,45
100+ Computer Science Concepts Explained,Comprehensive overview of essential computer science concepts covering algorithms data structures system design and fundamental CS principles in rapid-fire format,Fireship,computer,,https://www.youtube.com/watch?v=-uleG_Vecis,youtube,video,0,1,1
Harvard CS50 Full Course,Complete computer science foundation from Harvard covering programming algorithms data structures memory management and computational thinking,Harvard University,computer,,https://www.youtube.com/watch?v=LfaMVlDaQ24,youtube,video,1,1,24
100+ Web Development Things you Should Know,Essential web development concepts overview covering frontend backend databases deployment and modern web development ecosystem,Fireship,computer,computer,https://www.youtube.com/watch?v=erEgovG9WBs,youtube,video,0,2,1
JavaScript Cookies vs Local Storage vs Session Storage,Browser storage mechanisms comparison covering cookies localStorage sessionStorage and choosing appropriate client-side storage solutions,Web Dev Simplified,"internet,javascript",javascript,https://www.youtube.com/watch?v=GihQAC1I39Q,youtube,video,0,2,1
"Difference between cookies, session and tokens",Authentication mechanisms explained covering session-based authentication token-based authentication and security considerations for web applications,Programming with Mosh,auth,computer,https://www.youtube.com/watch?v=GhrvZ5nUWNg,youtube,video,0,2,1
DevOps CI/CD Explained in 100 Seconds,CI/CD pipeline fundamentals covering continuous integration continuous deployment automation and modern software delivery practices,Fireship,ci_cd,,https://www.youtube.com/watch?v=scEDHsr3APg,youtube,video,0,2,1
The Complete DevOps Roadmap,Comprehensive DevOps learning path covering tools practices culture and building expertise in modern software delivery and operations,TechWorld with Nana,ci_cd,"computer,git,linux",https://www.youtube.com/watch?v=6GQRb4fGvtk,youtube,video,0,2,3
Bash in 100 Seconds,Bash scripting quick introduction covering command-line basics shell scripting fundamentals and productive terminal usage for developers,Fireship,bash,,https://www.youtube.com/watch?v=I4EWvMFj37g,youtube,video,0,1,1
Bash Scripting Tutorial for Beginners,Complete bash scripting guide covering variables loops functions file operations and automating system administration tasks,Programming Knowledge,bash,computer,https://www.youtube.com/watch?v=tK9Oc6AEnR4,youtube,video,0,1,4
Beginner's Guide to the Bash Terminal,Command line basics for beginners covering navigation file management permissions and essential terminal skills for developers,Joe Collins,bash,computer,https://www.youtube.com/watch?v=oxuRxtrO2Ag,youtube,video,0,1,2
APIs Explained,API concepts and usage covering REST APIs HTTP methods endpoints and how applications communicate through programming interfaces,Exponent,api,,https://www.youtube.com/watch?v=bxuYDT-BWaI,youtube,video,0,1,1
What is a REST API,REST API principles and design covering HTTP methods resource modeling status codes and building RESTful web services,Programming with Mosh,"rest,api",api,https://www.youtube.com/watch?v=lsMQRaeKNDk,youtube,video,0,2,1
"What Are API Keys, And Why Are They So Important?",API security and authentication covering API key management authentication strategies and protecting API endpoints from unauthorized access,Eye on Tech,api,computer,https://www.youtube.com/watch?v=sNn23dPRUS8,youtube,video,0,2,1
What is an IDE,Integrated Development Environment fundamentals covering code editors debugging tools and choosing development environments for programming,Tech With Tim,ide,,https://www.youtube.com/watch?v=vUn5akOlFXQ,youtube,video,0,1,1
VS Code in 100 Seconds,Visual Studio Code overview covering features extensions productivity tips and setting up VS Code for efficient development workflows,Fireship,vscode,,https://www.youtube.com/watch?v=KMxo3T_MTvY,youtube,video,0,1,1
Visual Studio Code Crash Course,Comprehensive VS Code tutorial covering interface extensions debugging Git integration and maximizing productivity with Visual Studio Code,Traversy Media,vscode,computer,https://www.youtube.com/watch?v=WPqXP_kLzpo,youtube,video,0,1,2
Environment Variables in Linux,Environment variables in Linux covering configuration management shell variables and using environment variables for application configuration,NetworkChuck,"variable,linux",linux,https://www.youtube.com/watch?v=yM8v5i2Qjgg,youtube,video,0,2,1
Load Environment Variables From .env Files in Python,Python environment configuration covering dotenv files configuration management and maintaining secure application settings in Python projects,Corey Schafer,"variable,python",python,https://www.youtube.com/watch?v=8dlQ_nDE7dQ,youtube,video,0,2,1
The Scrum Guide,Complete Scrum methodology training covering roles ceremonies artifacts and implementing Agile Scrum practices in software development teams,David McLachlan,agile,,https://www.youtube.com/watch?v=s3y95I79D_Q,youtube,video,0,2,4
GraphQL Explained in 100 Seconds,GraphQL fundamentals covering query language schema design and advantages over REST APIs for flexible data fetching,Fireship,graphql,api,https://www.youtube.com/watch?v=eIQh02xuVw4,youtube,video,0,2,1
GraphQL Course for Beginners,Complete GraphQL tutorial covering schema design queries mutations resolvers and building GraphQL APIs from scratch,freeCodeCamp.org,graphql,"javascript,api",https://www.youtube.com/watch?v=5199E50O7SI,youtube,video,1,2,4
Learn Python - Full Course for Beginners,Complete Python programming tutorial covering syntax data structures functions object-oriented programming and building practical Python applications,freeCodeCamp.org,python,,https://www.youtube.com/watch?v=rfscVS0vtbw,youtube,video,1,1,4
Python Crash Course For Beginners,Quick Python introduction covering essential concepts syntax programming fundamentals and getting started with Python development,Traversy Media,python,,https://www.youtube.com/watch?v=JJmcL1N2KQs,youtube,video,0,1,2
Python Virtual Environments - Full Tutorial for Beginners,Python environment management covering virtual environments dependency isolation and managing Python project dependencies professionally,Corey Schafer,python,python,https://www.youtube.com/watch?v=Y21OR1OPC9A,youtube,video,0,2,1
Django Tutorial for Beginners – Build Powerful Backends,Complete Django web development covering models views templates URL routing and building database-driven web applications with Python,Programming with Mosh,django,python,https://www.youtube.com/watch?v=rHux0gMZ3Eg,youtube,video,1,2,3
Python Django Web Framework - Full Course for Beginners,Comprehensive Django tutorial covering web framework fundamentals MVC architecture database integration and building production-ready web applications,freeCodeCamp.org,"django,python",python,https://www.youtube.com/watch?v=F5mRW0jo-U4,youtube,video,1,1,4
Django Crash Course – Python Web Framework,Quick Django introduction covering rapid web development database models admin interface and building web applications efficiently with Django,Traversy Media,"django,python",python,https://www.youtube.com/watch?v=0roB7wZMLqI,youtube,video,0,2,2
PostgreSQL in 100 Seconds,PostgreSQL database overview covering relational database features advanced capabilities and why PostgreSQL is chosen for modern applications,Fireship,"postgresql,sql",,https://www.youtube.com/watch?v=n2Fluyr3lbc,youtube,video,0,1,1
What is a Database,Database fundamentals explained covering data storage organization relationships and the role of databases in modern applications,Crash Course Computer Science,database,,https://www.youtube.com/watch?v=hRulZhTtUTg,youtube,video,0,1,1
What is a Relational Database,Relational database concepts covering tables relationships normalization and understanding how relational databases organize and connect data,IBM Technology,database,,https://www.youtube.com/watch?v=OqjJjpjDRLc,youtube,video,0,1,1
SQL Tutorial - Full Database Course for Beginners,Complete SQL learning course covering queries joins aggregation database design and mastering SQL for data analysis and database management,freeCodeCamp.org,sql,,https://www.youtube.com/watch?v=HXV3zeQKqGY,youtube,video,1,1,4
SQL Tutorial for Beginners,SQL fundamentals for beginners covering basic queries database operations and getting started with structured query language,Programming with Mosh,sql,,https://www.youtube.com/watch?v=H-jFp7iegDk,youtube,video,0,1,2
Learn PostgreSQL Tutorial - Full Course for Beginners,Complete PostgreSQL tutorial covering installation administration advanced features and building applications with PostgreSQL database,freeCodeCamp.org,"postgresql,sql",sql,https://www.youtube.com/watch?v=qw--VYLpxG4,youtube,video,1,2,5
100+ JavaScript Concepts you Need to Know,JavaScript concepts overview covering language features modern syntax frameworks and essential knowledge for JavaScript developers,Fireship,javascript,html,https://www.youtube.com/watch?v=lkIFF4maKMU,youtube,video,0,2,1
Learn JavaScript - Full Course for Beginners,Complete JavaScript programming covering fundamentals DOM manipulation functions objects and building interactive web applications from scratch,freeCodeCamp.org,javascript,html,https://www.youtube.com/watch?v=PkZNo7MFNFg,youtube,video,1,1,3
JavaScript Speed Course,Fast-paced JavaScript tutorial covering essential concepts syntax modern features and rapid skill development for experienced programmers,Traversy Media,javascript,html,https://www.youtube.com/watch?v=TjjKcgtlsY8,youtube,video,0,2,2
Learn JavaScript in 60 Minutes,Quick JavaScript introduction covering core concepts syntax programming fundamentals and getting productive with JavaScript development quickly,Programming with Mosh,javascript,html,https://www.youtube.com/watch?v=voLJ3CmaM1s,youtube,video,0,1,1
JavaScript Crash Course For Beginners,JavaScript fundamentals crash course covering variables functions DOM manipulation events and building interactive web pages,Traversy Media,javascript,html,https://www.youtube.com/watch?v=hdI2bqOjy3c,youtube,video,0,1,2
JSON Tutorial - Learn in 15 Minutes,JSON data format fundamentals covering syntax parsing serialization and using JSON for data exchange in web applications,WebDevMentors,json,,https://www.youtube.com/watch?v=0kHFDV1lAuI,youtube,video,0,1,1
JSON in 100 Seconds,Quick JSON overview covering JavaScript Object Notation syntax structure and role in modern web development and APIs,Fireship,json,,https://www.youtube.com/watch?v=rZUfzlOIqJo,youtube,video,0,1,1
What are CSV Files,CSV format explanation covering comma-separated values file structure data import/export and working with tabular data,ExcelIsFun,csv,,https://www.youtube.com/watch?v=PiO2dDvMiJo,youtube,video,0,1,1
What is CSV file,CSV file format basics covering structure usage data manipulation and importing/exporting CSV files in various applications,Amit Thinks,csv,,https://www.youtube.com/watch?v=OGOD2Fqy5k8,youtube,video,0,1,1
Node.js Crash Course,Node.js fundamentals tutorial covering runtime environment modules HTTP server creation and building backend applications with JavaScript,Traversy Media,nodejs,javascript,https://www.youtube.com/watch?v=32M1al-Y6Ag,youtube,video,1,2,2
Node.js Tutorial for Beginners,Complete Node.js introduction covering server-side JavaScript npm package management and building scalable backend applications,Programming with Mosh,nodejs,javascript,https://www.youtube.com/watch?v=gyQyk80_upM,youtube,video,1,1,3
React in 100 Seconds,Quick React overview covering component-based architecture virtual DOM JSX and the fundamentals of building user interfaces with React,Fireship,react,javascript,https://www.youtube.com/watch?v=Tn6-PIqc4UM,youtube,video,0,1,1
How to Rewire Your Brain to Learn React,React learning methodology covering mental models component thinking and effective strategies for mastering React development,Jack Herrington,react,javascript,https://www.youtube.com/watch?v=gjxY0aVdoCY,youtube,video,0,2,1
Every React Concept Explained in 12 Minutes,React concepts overview covering components state props hooks routing and comprehensive React fundamentals in condensed format,Code with Antonio,react,javascript,https://www.youtube.com/watch?v=wIyHSOugGGw,youtube,video,0,2,1
React Hooks Explained in 12 Minutes,React Hooks comprehensive guide covering useState useEffect useContext custom hooks and modern React functional component patterns,Lama Dev,react,react,https://www.youtube.com/watch?v=LOH1l-MP_9k,youtube,video,0,2,1
React JS Explained In 10 Minutes,React fundamentals quick guide covering component architecture state management and building dynamic user interfaces efficiently,Traversy Media,react,javascript,https://www.youtube.com/watch?v=s2skans2dP4,youtube,video,0,1,1
React Crash Course,React introduction tutorial covering components JSX state events and building your first React applications with modern practices,Traversy Media,react,javascript,https://www.youtube.com/watch?v=LDB4uaJ87e0,youtube,video,1,1,2
React Course - Beginner's Tutorial for React JavaScript Library,Complete React tutorial covering fundamentals advanced concepts project building and mastering React for modern web development,freeCodeCamp.org,react,javascript,https://www.youtube.com/watch?v=bMknfKXIFA8,youtube,video,1,1,5
Redux in 100 Seconds,Redux fundamentals overview covering state management predictable state containers and managing application state in React applications,Fireship,redux,react,https://www.youtube.com/watch?v=_shA5Xwe8_4,youtube,video,0,2,1
Redux Tutorial - Learn Redux from Scratch,Complete Redux tutorial covering actions reducers store middleware and implementing state management in React applications,Codevolution,redux,react,https://www.youtube.com/watch?v=poQXNp9ItL4,youtube,video,0,2,3
Redux Complete Tutorial with Redux Toolkit,Modern Redux with toolkit covering simplified Redux patterns efficient state management and building scalable applications,Dave Gray,redux,react,https://www.youtube.com/watch?v=5yEG6GhoJBs,youtube,video,1,3,4
React Redux Full Course for Beginners,Complete React Redux tutorial covering state management integration testing and building complex applications with predictable state,Dave Gray,"redux,react",react,https://www.youtube.com/watch?v=NqzdVN2tyvQ,youtube,video,1,2,9
Learn Docker in 7 Easy Steps - Full Beginner's Tutorial,Docker fundamentals tutorial covering containers images Dockerfile Docker Compose and containerizing applications for deployment,TechWorld with Nana,docker,computer,https://www.youtube.com/watch?v=gAkwW2tuIqE,youtube,video,1,1,2
Containers vs VMs: What's the difference,Containerization vs virtualization covering performance resource usage isolation and choosing between containers and virtual machines,IBM Technology,docker,,https://www.youtube.com/watch?v=cjXI-yxqGTI,youtube,video,0,1,1
Containerization Explained,Container technology overview covering benefits architecture orchestration and understanding modern application deployment strategies,IBM Technology,docker,,https://www.youtube.com/watch?v=0qotVMX-J5s,youtube,video,0,1,1
Docker Compose Tutorial,Docker Compose fundamentals covering multi-container applications service orchestration and managing complex development environments,TechWorld with Nana,docker,docker,https://www.youtube.com/watch?v=HG6yIjZapSA,youtube,video,1,2,1
Docker Tutorial for Beginners - Full Course,Complete Docker tutorial covering installation containers images networks volumes and mastering Docker for application deployment,TechWorld with Nana,docker,computer,https://www.youtube.com/watch?v=p28piYY_wv8,youtube,video,1,1,3
Docker Tutorial for Beginners,Docker introduction tutorial covering containerization concepts practical examples and getting started with Docker development workflows,Programming with Mosh,docker,computer,https://www.youtube.com/watch?v=pTFZFxd4hOI,youtube,video,1,1,3
Git vs. GitHub: What's the difference,Version control concepts covering Git distributed version control GitHub platform and understanding the relationship between Git and GitHub,GitHub,"git,github",,https://www.youtube.com/watch?v=wpISo9TNjfU,youtube,video,0,1,1
Git Command Line for Beginners - Full Course,Complete Git tutorial covering command line operations branching merging collaboration and mastering Git for professional development,codeSTACKr,git,computer,https://www.youtube.com/watch?v=T2GC5nm5aLI,youtube,video,1,1,2
"What is NPM, and why do we need it",NPM package manager basics covering Node.js packages dependency management installation and understanding the JavaScript ecosystem,Coder Coder,npm,nodejs,https://www.youtube.com/watch?v=P3aKRdUyr0s,youtube,video,0,1,1
NPM vs Yarn Difference between NPM & Yarn,Package manager comparison covering performance features security and choosing between NPM and Yarn for JavaScript projects,Edureka,"yarn,npm",npm,https://www.youtube.com/watch?v=Mp_LqbgFHSk,youtube,video,0,2,1
Figma Tutorial for UI Design,Complete Figma design tutorial covering interface design prototyping collaboration and creating professional user interface designs,DesignCourse,"figma,ui_ux",,https://www.youtube.com/watch?v=jwCmIBJ8Jtc,youtube,video,1,1,2
"UI/UX Design Tutorial - Wireframe, Mockup and Design in Figma",Complete UI/UX design process covering wireframing mockup creation prototyping and designing user-centered digital experiences,freeCodeCamp.org,"ui_ux,figma",,https://www.youtube.com/watch?v=c9Wg6Cb_YlU,youtube,video,1,2,5
How to Design a Website – A UX Wireframe Tutorial,Website wireframe design covering user experience planning information architecture and creating effective website layouts,freeCodeCamp.org,ui_ux,,https://www.youtube.com/watch?v=pN92rnO_n5U,youtube,video,1,2,2
UI/UX Design Course for Beginners,Complete UI/UX design course covering design principles user research prototyping and building professional design skills,Bring Your Own Laptop,ui_ux,,https://www.youtube.com/watch?v=AQqtwGnpjaM,youtube,video,1,1,6
Material UI Tutorial,Material-UI component library covering React components theming customization and building consistent user interfaces with Google's Material Design,The Net Ninja,"react,mui",react,https://www.youtube.com/playlist?list=PL4cUxeGkcC9gjxLvV4VEkZ6H6H4yWuS58,youtube,playlist,0,2,8
MUI5 (Material UI) Crash Course,Modern Material-UI tutorial covering latest version components styling and building professional React applications with Material Design,Laiture,"react,mui",react,https://www.youtube.com/watch?v=o1chMISeTC0,youtube,video,0,2,2
HTML & Coding Introduction – Course for Beginners,HTML fundamentals for beginners covering markup structure semantic elements and building the foundation for web development,freeCodeCamp.org,html,,https://www.youtube.com/watch?v=GDGejH3SDNQ,youtube,video,0,0,2
HTML Tutorial for Beginners,Modern HTML tutorial covering latest standards semantic markup accessibility and building professional web pages,Dave Gray,html,,https://www.youtube.com/watch?v=Gs5yi3Hi5qo,youtube,video,0,1,3
The Easy Way to Build Responsive Websites,Responsive web design tutorial covering CSS Grid Flexbox mobile-first design and creating websites that work on all devices,Kevin Powell,css,html,https://www.youtube.com/watch?v=l04dDYW-QaI,youtube,video,1,2,2
NGINX Explained in 100 Seconds,NGINX web server overview covering reverse proxy load balancing static file serving and understanding NGINX in modern web architecture,Fireship,nginx,,https://www.youtube.com/watch?v=JKxlsvZXG7c,youtube,video,0,2,1
NGINX Explained - What is Nginx,NGINX fundamentals covering web server capabilities configuration reverse proxy and using NGINX for high-performance web applications,TechWorld with Nana,nginx,linux,https://www.youtube.com/watch?v=iInUBOVeBCc,youtube,video,0,2,1
Full NGINX Tutorial - Demo Project with Node.js Docker,Complete NGINX tutorial covering configuration Docker integration Node.js deployment and building production-ready web infrastructure,TechWorld with Nana,"nginx,nodejs,docker","docker,linux",https://www.youtube.com/watch?v=q8OleYuqntY,youtube,video,1,3,2
Session vs Token Authentication in 100 Seconds,Authentication methods comparison covering session-based vs token-based authentication security considerations and implementation strategies,Fireship,auth,,https://www.youtube.com/watch?v=UBUNrFtufWo,youtube,video,0,2,1
Understanding Cross-Site Request Forgery,CSRF attack prevention covering attack vectors protection mechanisms and implementing CSRF protection in web applications,PwnFunction,csrf,security,https://www.youtube.com/watch?v=eHqbh0kyRYk,youtube,video,0,3,1
Cross-Site Request Forgery (CSRF) Explained,CSRF vulnerability explanation covering attack methodology prevention techniques and securing web applications against CSRF attacks,Hussein Nasser,csrf,security,https://www.youtube.com/watch?v=eWEgUcHPle0,youtube,video,0,3,1
Web App Vulnerabilities - DevSecOps Course for Beginners,Web security fundamentals covering common vulnerabilities secure coding practices and building security into development workflows,freeCodeCamp.org,security,computer,https://www.youtube.com/watch?v=F5KJVuii0Yw,youtube,video,0,2,4
Web Application Security Fundamentals,Application security basics covering threat modeling security controls vulnerability assessment and building secure web applications,Embrace The Red,security,computer,https://www.youtube.com/watch?v=-7OX58nHPb8,youtube,video,0,3,3
Software Testing Explained in 100 Seconds,Software testing fundamentals covering testing types test automation quality assurance and ensuring software reliability and functionality,Fireship,testing,,https://www.youtube.com/watch?v=u6QfIXgjwGQ,youtube,video,0,1,1
What is Quality Assurance,Quality assurance fundamentals covering QA processes testing methodologies and maintaining software quality throughout development lifecycle,SimpliLearn,qa,,https://www.youtube.com/watch?v=4neq2L6yDRI,youtube,video,0,1,1
CI/CD Explained: The DevOps Skill That Makes You 10x More Valuable,Comprehensive overview of CI/CD concepts explaining why continuous integration and continuous deployment are essential skills for modern developers and DevOps professionals,TechWorld with Nana,ci_cd,computer,https://www.youtube.com/watch?v=AknbizcLq4w,youtube,video,0,2,1
How DevOps Use CI/CD Pipelines for Automation,Quick introduction to CI/CD pipelines covering how DevOps teams use automation to streamline software building testing and deployment workflows,Akamai Developers,ci_cd,computer,https://www.youtube.com/watch?v=M4CXOocovZ4,youtube,video,0,2,1
"APIs Explained (REST, SOAP, Web APIs)",Introduction to API concepts covering REST and SOAP architectures and how web APIs enable communication between different software applications,Topictrick,api,,https://www.youtube.com/watch?v=lU9Mg5QxQIM,youtube,video,0,1,1
API Keys - How They Work and Best Practices,Explanation of API keys covering how they work for authentication and authorization along with best practices for securing and managing API credentials,Ghost Python Academy,api,computer,https://www.youtube.com/watch?v=lXPjpOl-QEY,youtube,video,0,2,1
What Are APIs? - Simply Explained,Beginner-friendly explanation of what APIs are and how they enable different software systems to communicate and share data with each other,Simply Explained,api,,https://www.youtube.com/watch?v=OVvTv9Hy91Q,youtube,video,0,1,1
What is an IDE? - Coding Made Simple,Beginner introduction to Integrated Development Environments explaining what they are and why developers use them for writing and managing code,Austin Davis,ide,,https://www.youtube.com/watch?v=4Q3tw7sc1ZA,youtube,video,0,0,1
25 VS Code Productivity Tips and Speed Hacks,Advanced VS Code tips covering keyboard shortcuts workflow optimizations and productivity features to dramatically speed up your development process,Fireship,vscode,vscode,https://www.youtube.com/watch?v=ifTF3ags0XI,youtube,video,0,2,1
Learn Visual Studio Code in 7min,Quick-start guide to Visual Studio Code covering the interface essential features extensions and basic setup for new users,Visual Studio Code,vscode,,https://www.youtube.com/watch?v=B-s71n0dHUk,youtube,video,0,0,1
Hiding Passwords and Secret Keys in Environment Variables,Practical guide to securing sensitive information by storing passwords and API keys in environment variables instead of hardcoding them in source files,Corey Schafer,variable,computer,https://www.youtube.com/watch?v=5iWhQWVXosU,youtube,video,0,2,1
How to Use Environment Variables in Node.js,Tutorial on working with environment variables in Node.js applications covering how to read and set configuration values for different deployment environments,Hey Node,"variable,nodejs",nodejs,https://www.youtube.com/watch?v=oGCMzHc2B8E,youtube,video,0,2,1
Set up and Test a Dot Env (.env) File in Node,Hands-on walkthrough for setting up and testing dotenv files in Node.js projects to manage environment-specific configuration securely,Hey Node,variable,nodejs,https://www.youtube.com/watch?v=U-LHf_phQqY,youtube,video,0,2,1
Learn DOTENV in 6 minutes,Quick tutorial covering how to use the dotenv package to load environment variables from .env files into your Node.js applications,Code with Vlad,variable,nodejs,https://www.youtube.com/watch?v=zwcvXd3kGbw,youtube,video,0,1,1
Agile versus Waterfall Project Plans,Comparison of Agile and Waterfall project management methodologies explaining the key differences and when to use each approach in software development,David McLachlan,agile,,https://www.youtube.com/watch?v=3KgjfqiN2fE,youtube,video,0,1,1
Key Foundations of Agile & Scrum Project Management,Comprehensive introduction to Agile and Scrum fundamentals covering sprint planning ceremonies roles and core principles for effective project management,Google Career Certificates,agile,,https://www.youtube.com/watch?v=WDAQq5vCMME,youtube,video,0,1,2
Python Full Course,Complete Python programming course covering fundamentals data types control flow functions object-oriented programming and practical coding exercises for beginners,Amigoscode,python,,https://www.youtube.com/watch?v=LzYNWme1W6Q,youtube,video,0,1,4
The Complete Guide to Python Virtual Environments,Detailed guide to Python virtual environments covering creation activation package isolation and best practices for managing project dependencies,teclado,python,python,https://www.youtube.com/watch?v=KxvKCSwlUv8,youtube,video,0,2,1
Django & React Web App Tutorial,Full-stack web application tutorial building a complete project with Django backend and React frontend covering API integration authentication and deployment,Tech With Tim,"django,react","django,react",https://www.youtube.com/watch?v=c-QsfbznSXI,youtube,video,0,3,3
I replaced my entire tech stack with Postgres,Exploration of advanced PostgreSQL capabilities showing how Postgres can handle tasks traditionally requiring separate tools like caching queuing and full-text search,Fireship,postgresql,sql,https://www.youtube.com/watch?v=3JW732GrMdg,youtube,video,0,2,1
Relational vs. Non-Relational Databases,Clear comparison of relational and non-relational database types explaining their architectures strengths and ideal use cases for different application needs,IBM Technology,database,,https://www.youtube.com/watch?v=E9AgJnsEvG4,youtube,video,0,1,1
Introduction to Entity Relationship Diagrams (ERDs),Beginner-friendly introduction to entity relationship diagrams covering entities attributes relationships and how to visually model database structures,Cody Baldwin,database,,https://www.youtube.com/watch?v=6uwuNRUUimY,youtube,video,0,1,1
Entity Relationship Diagrams,Comprehensive explanation of entity relationship diagrams covering cardinality notation types and practical techniques for designing database schemas,Decomplexify,database,,https://www.youtube.com/watch?v=LowjDtiNlk4,youtube,video,0,1,1
SQL for Beginners Tutorial,Complete SQL tutorial for beginners covering SELECT statements filtering sorting joins aggregations subqueries and practical database querying skills,Amigoscode,sql,,https://www.youtube.com/watch?v=5hzZtqCNQKk,youtube,video,0,1,5
JavaScript Crash Course,Full JavaScript crash course covering variables data types functions DOM manipulation async programming and modern ES6+ features for web development,Amigoscode,javascript,html,https://www.youtube.com/watch?v=J-S8ieP9L40,youtube,video,0,1,3
7 React Lessons I Wish I Knew Earlier,Practical React tips and patterns covering common mistakes and best practices that experienced developers wish they had learned sooner,Code Bootcamp,react,react,https://www.youtube.com/watch?v=4AXQgOcL1mo,youtube,video,0,2,1
Every React 19 Feature Explained in 8 Minutes,Concise overview of all new React 19 features including server components actions and performance improvements explained with practical examples,Code Bootcamp,react,react,https://www.youtube.com/watch?v=2NPIYnY3ilo,youtube,video,0,2,1
All The JavaScript You Need To Know For React,Focused JavaScript review covering the essential language features and concepts needed before starting to learn React development,PedroTech,"javascript,react",javascript,https://www.youtube.com/watch?v=m55PTVUrlnA,youtube,video,0,2,1
The Complete Guide to Modern React in 2025,Comprehensive guide to modern React development covering current best practices hooks state management and the React ecosystem for building production applications,Cosden Solutions,react,javascript,https://www.youtube.com/watch?v=bHEdQWEtyKY,youtube,video,0,2,1
UX Design Tutorial for Beginners,Beginner introduction to user experience design covering core UX principles user research wireframing and the fundamentals of creating user-centered digital products,Antony Conboy,ui_ux,,https://www.youtube.com/watch?v=I0-vBdh4sZ8,youtube,video,0,1,1
The Design Thinking Process - An Introduction,Overview of the design thinking process covering empathy definition ideation prototyping and testing as a framework for creative problem solving,CareerFoundry,ui_ux,,https://www.youtube.com/watch?v=Tvu34s8iMZw,youtube,video,0,1,1
UI/UX Design Course For Beginners,Extensive beginner course covering the complete UI/UX design workflow from user research and wireframing through prototyping and usability testing,Nerd's Academy,ui_ux,,https://www.youtube.com/watch?v=pyQAiRuqUSM,youtube,video,0,1,12
HTML/CSS Tutorial - Create an Order Summary Component,Hands-on tutorial building an order summary card component from scratch using HTML and CSS covering layout techniques styling and responsive design principles,freeCodeCamp.org,"html,css",html,https://www.youtube.com/watch?v=SR5GxoFhIAU,youtube,video,0,2,2
NGINX Linux Server - Common Configurations,Practical guide to common NGINX configurations on Linux covering server blocks reverse proxy SSL setup and essential web server administration tasks,Akamai Developers,"nginx,linux",linux,https://www.youtube.com/watch?v=MP3Wm9dtHSQ,youtube,video,0,2,1
3 Common Questions,Short playlist answering three fundamental questions that beginners commonly ask when starting their journey into programming and computer science,SuperSimpleDev,computer,,https://www.youtube.com/playlist?list=PLEPye7A7EcQbdoKjikrwHncR0BCTAZqT_,youtube,playlist,0,0,1
CS Basics,Concise playlist covering core computer science basics including how computers work and foundational concepts every aspiring developer should understand,Transcode,computer,,https://www.youtube.com/playlist?list=PLCUMNJ1aL2gwCI8w4zpzRFwlbCiKuhBVG,youtube,playlist,0,1,1
Computer Basics,Comprehensive playlist of short lessons covering essential computer fundamentals including hardware software operating systems and basic troubleshooting,LearnFree,computer,,https://www.youtube.com/playlist?list=PL4316FC411AD077AA,youtube,playlist,0,0,1
Computer Science Basics,Playlist of animated lessons explaining fundamental computer science concepts in an accessible and visual format for absolute beginners,LearnFree,computer,,https://www.youtube.com/playlist?list=PLpQQipWcxwt-Q9izCl0mm-QZ4seuBdUtr,youtube,playlist,0,1,1
GraphQL,In-depth playlist covering GraphQL fundamentals including schema design queries mutations resolvers and building GraphQL APIs with practical examples,Very Academy,graphql,javascript,https://www.youtube.com/playlist?list=PLOLrQ9Pn6caxz00JcLeOR-Rtq0Yi01oBH,youtube,playlist,0,2,5
PY011 | Python Programming,Comprehensive Python programming playlist covering language fundamentals data structures functions modules and practical coding exercises across 67 lessons,Very Academy,python,,https://www.youtube.com/playlist?list=PLOLrQ9Pn6cawb13MugxL-p1M4w7ZfT-qR,youtube,playlist,0,1,9
Django ORM Mastery Series,Advanced Django ORM playlist covering complex queries model relationships database optimization and mastering Django's object-relational mapping system,Very Academy,django,"python,django",https://www.youtube.com/playlist?list=PLOLrQ9Pn6cazjoDEnwzcdWWf4SNS0QZml,youtube,playlist,0,3,10
